Desc	Family ID	human	chimp	orang	baboon	gibbon	macaque	marmoset	rat	mouse	cat	horse	cow
(null)	212	7	8	8	6	6	5	7	7	6	7	7	12
(null)	213	7	7	8	7	6	6	7	7	7	8	8	8
(null)	214	7	7	6	7	4	4	4	16	19	4	3	5
(null)	215	7	7	7	7	6	8	7	7	7	8	7	7
(null)	216	7	7	7	7	7	7	9	7	5	7	7	8
(null)	217	22	6	7	5	5	6	6	5	3	6	6	7
(null)	218	8	6	6	7	7	8	7	7	7	7	7	7
(null)	219	7	7	7	7	7	6	7	7	8	7	7	7
(null)	220	5	6	7	7	7	7	9	6	8	7	7	8
(null)	221	8	8	6	8	7	5	6	7	10	5	7	7
(null)	222	5	8	7	6	8	7	7	7	7	7	8	7
(null)	223	1	2	8	5	2	11	22	19	1	8	1	4
(null)	224	6	7	7	7	7	8	7	7	6	7	7	7
(null)	225	6	6	10	6	6	7	7	7	7	7	7	7
(null)	226	7	7	8	8	6	6	6	7	6	7	7	7
(null)	227	5	8	7	6	7	9	7	6	6	6	6	9
(null)	228	7	5	7	7	9	6	7	7	6	7	7	6
(null)	229	6	7	7	6	7	7	9	7	5	6	7	7
(null)	230	0	0	1	0	0	2	0	0	0	77	0	1
(null)	231	6	7	7	7	7	5	7	7	7	7	6	7
(null)	232	6	6	8	6	6	6	7	7	6	9	7	6
(null)	233	8	5	6	6	6	6	6	9	9	6	6	6
(null)	234	7	7	7	5	6	7	6	7	6	7	6	7
(null)	235	6	5	6	5	5	6	6	6	6	7	9	11
(null)	236	6	6	5	6	6	6	6	7	10	6	8	6
(null)	237	6	6	6	7	7	8	7	7	7	5	5	7
(null)	238	6	6	8	5	7	9	7	5	6	7	6	5
(null)	239	5	5	5	6	5	4	12	1	2	7	11	14
(null)	240	6	4	6	8	6	7	6	8	7	7	6	6
(null)	241	13	15	13	8	1	12	6	1	0	3	2	3
(null)	242	8	6	7	6	6	4	6	10	5	6	7	6
(null)	243	6	8	8	5	8	6	5	5	7	7	6	6
(null)	244	5	6	6	7	5	14	6	4	5	11	4	4
(null)	245	5	6	8	4	5	6	5	9	9	7	6	7
(null)	246	6	6	6	6	7	6	7	6	5	7	7	7
(null)	247	6	6	6	6	6	6	6	7	7	8	6	6
(null)	248	6	6	6	7	7	6	7	7	6	6	6	6
